,number,segment,en,de,es,fr,id,it,ja,ko,lt,lv,pl,ru,tr,th,vi
31,41,40|+|1,forty-one,einundvierzig,cuarenta y uno,quarante et un,empat puluh satu,quarantuno,四十一,사십일,keturiasdešimt vienas,četrdesmit viens,czterdzieści jeden,сорок один,kırkbir,สี่สิบเอ็ด,bốn mươi mốt
32,42,40|+|2,forty-two,zweiundvierzig,cuarenta y dos,quarante-deux,empat puluh dua,quarantadue,四十二,사십이,keturiasdešimt du,četrdesmit divi,czterdzieści dwa,сорок два,kırkiki,สี่สิบสอง,bốn mươi hai
33,43,40|+|3,forty-three,dreiundvierzig,cuarenta y tres,quarante-trois,empat puluh tiga,quarantatré,四十三,사십삼,keturiasdešimt trys,četrdesmit trīs,czterdzieści trzy,сорок три,kırküç,สี่สิบสาม,bốn mươi ba
34,44,40|+|4,forty-four,vierundvierzig,cuarenta y cuatro,quarante-quatre,empat puluh empat,quarantaquattro,四十四,사십사,keturiasdešimt keturi,četrdesmit četri,czterdzieści cztery,сорок четыре,kırkdört,สี่สิบสี่,bốn mươi bốn
35,45,40|+|5,forty-five,fünfundvierzig,cuarenta y cinco,quarante-cinq,empat puluh lima,quarantacinque,四十五,사십오,keturiasdešimt penki,četrdesmit pieci,czterdzieści pięć,сорок пять,kırkbeş,สี่สิบห้า,bốn mươi lăm
36,46,40|+|6,forty-six,sechsundvierzig,cuarenta y seis,quarante-six,empat puluh enam,quarantasei,四十六,사십육,keturiasdešimt šeši,četrdesmit seši,czterdzieści sześć,сорок шесть,kırkaltı,สี่สิบหก,bốn mươi sáu
37,47,40|+|7,forty-seven,siebenundvierzig,cuarenta y siete,quarante-sept,empat puluh tujuh,quarantasette,四十七,사십칠,keturiasdešimt septyni,četrdesmit septiņi,czterdzieści siedem,сорок семь,kırkyedi,สี่สิบเจ็ด,bốn mươi bảy
38,48,40|+|8,forty-eight,achtundvierzig,cuarenta y ocho,quarante-huit,empat puluh delapan,quarantotto,四十八,사십팔,keturiasdešimt aštuoni,četrdesmit astoņi,czterdzieści osiem,сорок восемь,kırksekiz,สี่สิบแปด,bốn mươi tám
39,49,40|+|9,forty-nine,neunundvierzig,cuarenta y nueve,quarante-neuf,empat puluh sembilan,quarantanove,四十九,사십구,keturiasdešimt devyni,četrdesmit deviņi,czterdzieści dziewięć,сорок девять,kırkdokuz,สี่สิบเก้า,bốn mươi chín
40,50,50|+|0,fifty,fünfzig,cincuenta,cinquante,lima puluh,cinquanta,五十,오십,penkiasdešimt,piecdesmit,pięćdziesiąt,пятьдесят,elli,ห้าสิบ,năm mươi
41,51,50|+|1,fifty-one,einundfünfzig,cincuenta y uno,cinquante et un,lima puluh satu,cinquantuno,五十一,오십일,penkiasdešimt vienas,piecdesmit viens,pięćdziesiąt jeden,пятьдесят один,ellibir,ห้าสิบเอ็ด,năm mươi mốt
42,52,50|+|2,fifty-two,zweiundfünfzig,cincuenta y dos,cinquante-deux,lima puluh dua,cinquantadue,五十二,오십이,penkiasdešimt du,piecdesmit divi,pięćdziesiąt dwa,пятьдесят два,elliiki,ห้าสิบสอง,năm mươi hai
43,53,50|+|3,fifty-three,dreiundfünfzig,cincuenta y tres,cinquante-trois,lima puluh tiga,cinquantatré,五十三,오십삼,penkiasdešimt trys,piecdesmit trīs,pięćdziesiąt trzy,пятьдесят три,elliüç,ห้าสิบสาม,năm mươi ba
44,54,50|+|4,fifty-four,vierundfünfzig,cincuenta y cuatro,cinquante-quatre,lima puluh empat,cinquantaquattro,五十四,오십사,penkiasdešimt keturi,piecdesmit četri,pięćdziesiąt cztery,пятьдесят четыре,ellidört,ห้าสิบสี่,năm mươi bốn
45,55,50|+|5,fifty-five,fünfundfünfzig,cincuenta y cinco,cinquante-cinq,lima puluh lima,cinquantacinque,五十五,오십오,penkiasdešimt penki,piecdesmit pieci,pięćdziesiąt pięć,пятьдесят пять,ellibeş,ห้าสิบห้า,năm mươi lăm
46,56,50|+|6,fifty-six,sechsundfünfzig,cincuenta y seis,cinquante-six,lima puluh enam,cinquantasei,五十六,오십육,penkiasdešimt šeši,piecdesmit seši,pięćdziesiąt sześć,пятьдесят шесть,ellialtı,ห้าสิบหก,năm mươi sáu
47,57,50|+|7,fifty-seven,siebenundfünfzig,cincuenta y siete,cinquante-sept,lima puluh tujuh,cinquantasette,五十七,오십칠,penkiasdešimt septyni,piecdesmit septiņi,pięćdziesiąt siedem,пятьдесят семь,elliyedi,ห้าสิบเจ็ด,năm mươi bảy
48,58,50|+|8,fifty-eight,achtundfünfzig,cincuenta y ocho,cinquante-huit,lima puluh delapan,cinquantotto,五十八,오십팔,penkiasdešimt aštuoni,piecdesmit astoņi,pięćdziesiąt osiem,пятьдесят восемь,ellisekiz,ห้าสิบแปด,năm mươi tám
49,59,50|+|9,fifty-nine,neunundfünfzig,cincuenta y nueve,cinquante-neuf,lima puluh sembilan,cinquantanove,五十九,오십구,penkiasdešimt devyni,piecdesmit deviņi,pięćdziesiąt dziewięć,пятьдесят девять,ellidokuz,ห้าสิบเก้า,năm mươi chín
50,60,60|+|0,sixty,sechzig,sesenta,soixante,enam puluh,sessanta,六十,육십,šešiasdešimt,sešdesmit,sześćdziesiąt,шестьдесят,altmış,หกสิบ,sáu mươi
51,61,60|+|1,sixty-one,einundsechzig,sesenta y uno,soixante et un,enam puluh satu,sessantuno,六十一,육십일,šešiasdešimt vienas,sešdesmit viens,sześćdziesiąt jeden,шестьдесят один,altmışbir,หกสิบเอ็ด,sáu mươi mốt
52,62,60|+|2,sixty-two,zweiundsechzig,sesenta y dos,soixante-deux,enam puluh dua,sessantadue,六十二,육십이,šešiasdešimt du,sešdesmit divi,sześćdziesiąt dwa,шестьдесят два,altmışiki,หกสิบสอง,sáu mươi hai
53,63,60|+|3,sixty-three,dreiundsechzig,sesenta y tres,soixante-trois,enam puluh tiga,sessantatré,六十三,육십삼,šešiasdešimt trys,sešdesmit trīs,sześćdziesiąt trzy,шестьдесят три,altmışüç,หกสิบสาม,sáu mươi ba
54,64,60|+|4,sixty-four,vierundsechzig,sesenta y cuatro,soixante-quatre,enam puluh empat,sessantaquattro,六十四,육십사,šešiasdešimt keturi,sešdesmit četri,sześćdziesiąt cztery,шестьдесят четыре,altmışdört,หกสิบสี่,sáu mươi bốn
55,65,60|+|5,sixty-five,fünfundsechzig,sesenta y cinco,soixante-cinq,enam puluh lima,sessantacinque,六十五,육십오,šešiasdešimt penki,sešdesmit pieci,sześćdziesiąt pięć,шестьдесят пять,altmışbeş,หกสิบห้า,sáu mươi lăm
56,66,60|+|6,sixty-six,sechsundsechzig,sesenta y seis,soixante-six,enam puluh enam,sessantasei,六十六,육십육,šešiasdešimt šeši,sešdesmit seši,sześćdziesiąt sześć,шестьдесят шесть,altmışaltı,หกสิบหก,sáu mươi sáu
57,67,60|+|7,sixty-seven,siebenundsechzig,sesenta y siete,soixante-sept,enam puluh tujuh,sessantasette,六十七,육십칠,šešiasdešimt septyni,sešdesmit septiņi,sześćdziesiąt siedem,шестьдесят семь,altmışyedi,หกสิบเจ็ด,sáu mươi bảy
58,68,60|+|8,sixty-eight,achtundsechzig,sesenta y ocho,soixante-huit,enam puluh delapan,sessantotto,六十八,육십팔,šešiasdešimt aštuoni,sešdesmit astoņi,sześćdziesiąt osiem,шестьдесят восемь,altmışsekiz,หกสิบแปด,sáu mươi tám
59,69,60|+|9,sixty-nine,neunundsechzig,sesenta y nueve,soixante-neuf,enam puluh sembilan,sessantanove,六十九,육십구,šešiasdešimt devyni,sešdesmit deviņi,sześćdziesiąt dziewięć,шестьдесят девять,altmışdokuz,หกสิบเก้า,sáu mươi chín
60,70,70|+|0,seventy,siebzig,setenta,soixante-dix,tujuh puluh,settanta,七十,칠십,septyniasdešimt,septiņdesmit,siedemdziesiąt,семьдесят,yetmiş,เจ็ดสิบ,bảy mươi
61,71,70|+|1,seventy-one,einundsiebzig,setenta y uno,soixante et onze,tujuh puluh satu,settantuno,七十一,칠십일,septyniasdešimt vienas,septiņdesmit viens,siedemdziesiąt jeden,семьдесят один,yetmişbir,เจ็ดสิบเอ็ด,bảy mươi mốt
62,72,70|+|2,seventy-two,zweiundsiebzig,setenta y dos,soixante-douze,tujuh puluh dua,settantadue,七十二,칠십이,septyniasdešimt du,septiņdesmit divi,siedemdziesiąt dwa,семьдесят два,yetmişiki,เจ็ดสิบสอง,bảy mươi hai
63,73,70|+|3,seventy-three,dreiundsiebzig,setenta y tres,soixante-treize,tujuh puluh tiga,settantatré,七十三,칠십삼,septyniasdešimt trys,septiņdesmit trīs,siedemdziesiąt trzy,семьдесят три,yetmişüç,เจ็ดสิบสาม,bảy mươi ba
64,74,70|+|4,seventy-four,vierundsiebzig,setenta y cuatro,soixante-quatorze,tujuh puluh empat,settantaquattro,七十四,칠십사,septyniasdešimt keturi,septiņdesmit četri,siedemdziesiąt cztery,семьдесят четыре,yetmişdört,เจ็ดสิบสี่,bảy mươi bốn
65,75,70|+|5,seventy-five,fünfundsiebzig,setenta y cinco,soixante-quinze,tujuh puluh lima,settantacinque,七十五,칠십오,septyniasdešimt penki,septiņdesmit pieci,siedemdziesiąt pięć,семьдесят пять,yetmişbeş,เจ็ดสิบห้า,bảy mươi lăm
66,76,70|+|6,seventy-six,sechsundsiebzig,setenta y seis,soixante-seize,tujuh puluh enam,settantasei,七十六,칠십육,septyniasdešimt šeši,septiņdesmit seši,siedemdziesiąt sześć,семьдесят шесть,yetmişaltı,เจ็ดสิบหก,bảy mươi sáu
67,77,70|+|7,seventy-seven,siebenundsiebzig,setenta y siete,soixante-dix-sept,tujuh puluh tujuh,settantasette,七十七,칠십칠,septyniasdešimt septyni,septiņdesmit septiņi,siedemdziesiąt siedem,семьдесят семь,yetmişyedi,เจ็ดสิบเจ็ด,bảy mươi bảy
68,78,70|+|8,seventy-eight,achtundsiebzig,setenta y ocho,soixante-dix-huit,tujuh puluh delapan,settantotto,七十八,칠십팔,septyniasdešimt aštuoni,septiņdesmit astoņi,siedemdziesiąt osiem,семьдесят восемь,yetmişsekiz,เจ็ดสิบแปด,bảy mươi tám
69,79,70|+|9,seventy-nine,neunundsiebzig,setenta y nueve,soixante-dix-neuf,tujuh puluh sembilan,settantanove,七十九,칠십구,septyniasdešimt devyni,septiņdesmit deviņi,siedemdziesiąt dziewięć,семьдесят девять,yetmişdokuz,เจ็ดสิบเก้า,bảy mươi chín
70,80,80|+|0,eighty,achtzig,ochenta,quatre-vingts,delapan puluh,ottanta,八十,팔십,aštuoniasdešimt,astoņdesmit,osiemdziesiąt,восемьдесят,seksen,แปดสิบ,tám mươi
71,81,80|+|1,eighty-one,einundachtzig,ochenta y uno,quatre-vingt-un,delapan puluh satu,ottantuno,八十一,팔십일,aštuoniasdešimt vienas,astoņdesmit viens,osiemdziesiąt jeden,восемьдесят один,seksenbir,แปดสิบเอ็ด,tám mươi mốt
72,82,80|+|2,eighty-two,zweiundachtzig,ochenta y dos,quatre-vingt-deux,delapan puluh dua,ottantadue,八十二,팔십이,aštuoniasdešimt du,astoņdesmit divi,osiemdziesiąt dwa,восемьдесят два,sekseniki,แปดสิบสอง,tám mươi hai
73,83,80|+|3,eighty-three,dreiundachtzig,ochenta y tres,quatre-vingt-trois,delapan puluh tiga,ottantatré,八十三,팔십삼,aštuoniasdešimt trys,astoņdesmit trīs,osiemdziesiąt trzy,восемьдесят три,seksenüç,แปดสิบสาม,tám mươi ba
74,84,80|+|4,eighty-four,vierundachtzig,ochenta y cuatro,quatre-vingt-quatre,delapan puluh empat,ottantaquattro,八十四,팔십사,aštuoniasdešimt keturi,astoņdesmit četri,osiemdziesiąt cztery,восемьдесят четыре,seksendört,แปดสิบสี่,tám mươi bốn
75,85,80|+|5,eighty-five,fünfundachtzig,ochenta y cinco,quatre-vingt-cinq,delapan puluh lima,ottantacinque,八十五,팔십오,aštuoniasdešimt penki,astoņdesmit pieci,osiemdziesiąt pięć,восемьдесят пять,seksenbeş,แปดสิบห้า,tám mươi lăm
76,86,80|+|6,eighty-six,sechsundachtzig,ochenta y seis,quatre-vingt-six,delapan puluh enam,ottantasei,八十六,팔십육,aštuoniasdešimt šeši,astoņdesmit seši,osiemdziesiąt sześć,восемьдесят шесть,seksenaltı,แปดสิบหก,tám mươi sáu
77,87,80|+|7,eighty-seven,siebenundachtzig,ochenta y siete,quatre-vingt-sept,delapan puluh tujuh,ottantasette,八十七,팔십칠,aštuoniasdešimt septyni,astoņdesmit septiņi,osiemdziesiąt siedem,восемьдесят семь,seksenyedi,แปดสิบเจ็ด,tám mươi bảy
78,88,80|+|8,eighty-eight,achtundachtzig,ochenta y ocho,quatre-vingt-huit,delapan puluh delapan,ottantotto,八十八,팔십팔,aštuoniasdešimt aštuoni,astoņdesmit astoņi,osiemdziesiąt osiem,восемьдесят восемь,seksensekiz,แปดสิบแปด,tám mươi tám
79,89,80|+|9,eighty-nine,neunundachtzig,ochenta y nueve,quatre-vingt-neuf,delapan puluh sembilan,ottantanove,八十九,팔십구,aštuoniasdešimt devyni,astoņdesmit deviņi,osiemdziesiąt dziewięć,восемьдесят девять,seksendokuz,แปดสิบเก้า,tám mươi chín
80,90,90|+|0,ninety,neunzig,noventa,quatre-vingt-dix,sembilan puluh,novanta,九十,구십,devyniasdešimt,deviņdesmit,dziewięćdzisiąt,девяносто,doksan,เก้าสิบ,chín mươi
81,91,90|+|1,ninety-one,einundneunzig,noventa y uno,quatre-vingt-onze,sembilan puluh satu,novantuno,九十一,구십일,devyniasdešimt vienas,deviņdesmit viens,dziewięćdzisiąt jeden,девяносто один,doksanbir,เก้าสิบเอ็ด,chín mươi mốt
82,92,90|+|2,ninety-two,zweiundneunzig,noventa y dos,quatre-vingt-douze,sembilan puluh dua,novantadue,九十二,구십이,devyniasdešimt du,deviņdesmit divi,dziewięćdzisiąt dwa,девяносто два,doksaniki,เก้าสิบสอง,chín mươi hai
83,93,90|+|3,ninety-three,dreiundneunzig,noventa y tres,quatre-vingt-treize,sembilan puluh tiga,novantatré,九十三,구십삼,devyniasdešimt trys,deviņdesmit trīs,dziewięćdzisiąt trzy,девяносто три,doksanüç,เก้าสิบสาม,chín mươi ba
84,94,90|+|4,ninety-four,vierundneunzig,noventa y cuatro,quatre-vingt-quatorze,sembilan puluh empat,novantaquattro,九十四,구십사,devyniasdešimt keturi,deviņdesmit četri,dziewięćdzisiąt cztery,девяносто четыре,doksandört,เก้าสิบสี่,chín mươi bốn
85,95,90|+|5,ninety-five,fünfundneunzig,noventa y cinco,quatre-vingt-quinze,sembilan puluh lima,novantacinque,九十五,구십오,devyniasdešimt penki,deviņdesmit pieci,dziewięćdzisiąt pięć,девяносто пять,doksanbeş,เก้าสิบห้า,chín mươi lăm
86,96,90|+|6,ninety-six,sechsundneunzig,noventa y seis,quatre-vingt-seize,sembilan puluh enam,novantasei,九十六,구십육,devyniasdešimt šeši,deviņdesmit seši,dziewięćdzisiąt sześć,девяносто шесть,doksanaltı,เก้าสิบหก,chín mươi sáu
87,97,90|+|7,ninety-seven,siebenundneunzig,noventa y siete,quatre-vingt-dix-sept,sembilan puluh tujuh,novantasette,九十七,구십칠,devyniasdešimt septyni,deviņdesmit septiņi,dziewięćdzisiąt siedem,девяносто семь,doksanyedi,เก้าสิบเจ็ด,chín mươi bảy
88,98,90|+|8,ninety-eight,achtundneunzig,noventa y ocho,quatre-vingt-dix-huit,sembilan puluh delapan,novantotto,九十八,구십팔,devyniasdešimt aštuoni,deviņdesmit astoņi,dziewięćdzisiąt osiem,девяносто восемь,doksansekiz,เก้าสิบแปด,chín mươi tám
89,99,90|+|9,ninety-nine,neunundneunzig,noventa y nueve,quatre-vingt-dix-neuf,sembilan puluh sembilan,novantanove,九十九,구십구,devyniasdešimt devyni,deviņdesmit deviņi,dziewięćdzisiąt dziewięć,девяносто девять,doksandokuz,เก้าสิบเก้า,chín mươi chín
90,100,1|x|100|+|0|+|0,one hundred,einhundert,cien,cent,seratus,cento,百,백,vienas šimtas,simts,sto,сто,yüz,หนึ่งร้อย,một trăm
91,121,1|x|100|+|20|+|1,one hundred and twenty-one,einhunderteinundzwanzig,ciento veintiuno,cent vingt et un,seratus dua puluh satu,centoventiuno,百二十一,백이십일,vienas šimtas dvidešimt vienas,simts divdesmit viens,sto dwadzieścia jeden,сто двадцать один,yüzyirmibir,หนึ่งร้อยยี่สิบเอ็ด,một trăm hai mươi mốt
92,929,9|x|100|+|20|+|9,nine hundred and twenty-nine,neunhundertneunundzwanzig,novecientos veintinueve,neuf cent vingt-neuf,sembilan ratus dua puluh sembilan,novecentoventinove,九百二十九,구백이십구,devyni šimtai dvidešimt devyni,deviņi simti divdesmit deviņi,dziewięćset dwadzieścia dziewięć,девятьсот двадцать девять,dokuzyüzyirmidokuz,เก้าร้อยยี่สิบเก้า,chín trăm hai mươi chín
93,732,7|x|100|+|30|+|2,seven hundred and thirty-two,siebenhundertzweiunddreißig,setecientos treinta y dos,sept cent trente-deux,tujuh ratus tiga puluh dua,settecentotrentadue,七百三十二,칠백삼십이,septyni šimtai trisdešimt du,septiņi simti trīsdesmit divi,siedemset trzydzieści dwa,семьсот тридцать два,yediyüzotuziki,เจ็ดร้อยสามสิบสอง,bảy trăm ba mươi hai
94,152,1|x|100|+|50|+|2,one hundred and fifty-two,einhundertzweiundfünfzig,ciento cincuenta y dos,cent cinquante-deux,seratus lima puluh dua,centocinquantadue,百五十二,백오십이,vienas šimtas penkiasdešimt du,simts piecdesmit divi,sto pięćdziesiąt dwa,сто пятьдесят два,yüzelliiki,หนึ่งร้อยห้าสิบสอง,một trăm năm mươi hai
95,223,2|x|100|+|20|+|3,two hundred and twenty-three,zweihundertdreiundzwanzig,doscientos veintitrés,deux cent vingt-trois,dua ratus dua puluh tiga,duecentoventitre,二百二十三,이백이십삼,du šimtai dvidešimt trys,divi simti divdesmit trīs,dwieście dwadzieścia trzy,двести двадцать три,ikiyüzyirmiüç,สองร้อยยี่สิบสาม,hai trăm hai mươi ba
96,818,8|x|100|+|10|+|8,eight hundred and eighteen,achthundertachtzehn,ochocientos dieciocho,huit cent dix-huit,delapan ratus delapan belas,ottocentodicotto,八百十八,팔백십팔,aštuoni šimtai aštuoniolika,astoņi simti astoņpadsmit,osiemset osiemnaście,восемьсот восемнадцать,sekizyüzonsekiz,แปดร้อยสิบแปด,tám trăm mười tám
97,180,1|x|100|+|80|+|0,one hundred and eighty,einhundertachtzig,ciento ochenta,cent quatre-vingts,seratus delapan puluh,centottanta,百八十,백팔십,vienas šimtas aštuoniasdešimt,simts astoņdesmit,sto osiemdziesiąt,сто восемьдесят,yüzseksen,หนึ่งร้อยแปดสิบ,một trăm tám mươi
98,959,9|x|100|+|50|+|9,nine hundred and fifty-nine,neunhundertneunundfünfzig,novecientos cincuenta y nueve,neuf cent cinquante-neuf,sembilan ratus lima puluh sembilan,novecentocinquantanove,九百五十九,구백오십구,devyni šimtai penkiasdešimt devyni,deviņi simti piecdesmit deviņi,dziewięćset pięćdziesiąt dziewięć,девятьсот пятьдесят девять,dokuzyüzellidokuz,เก้าร้อยห้าสิบเก้า,chín trăm năm mươi chín
99,762,7|x|100|+|60|+|2,seven hundred and sixty-two,siebenhundertzweiundsechzig,setecientos sesenta y dos,sept cent soixante-deux,tujuh ratus enam puluh dua,settecentosessantadue,七百六十二,칠백육십이,septyni šimtai šešiasdešimt du,septiņi simti sešdesmit divi,siedemset sześćdziesiąt dwa,семьсот шестьдесят два,yediyüzaltmışiki,เจ็ดร้อยหกสิบสอง,bảy trăm sáu mươi hai
100,408,4|x|100|+|0|+|8,four hundred and eight,vierhundertacht,cuatrocientos ocho,quatre cent huit,empat ratus delapan,quattrocentotto,四百八,사백팔,keturi šimtai aštuoni,četri simti astoņi,czterysta osiem,четыреста восемь,dörtyüzsekiz,สี่ร้อยแปด,bốn trăm lẻ tám
101,815,8|x|100|+|10|+|5,eight hundred and fifteen,achthundertfünfzehn,ochocientos quince,huit cent quinze,delapan ratus lima belas,ottocentoquindici,八百十五,팔백십오,aštuoni šimtai penkiolika,astoņi simti piecpadsmit,osiemset piętnaście,восемьсот пятнадцать,sekizyüzonbeş,แปดร้อยสิบห้า,tám trăm mười lăm
102,396,3|x|100|+|90|+|6,three hundred and ninety-six,dreihundertsechsundneunzig,trescientos noventa y seis,trois cent quatre-vingt-seize,tiga ratus sembilan puluh enam,trecentonovantasei,三百九十六,삼백구십육,trys šimtai devyniasdešimt šeši,trīs simti deviņdesmit seši,trzysta dziewięćdzisiąt sześć,триста девяносто шесть,üçyüzdoksanaltı,สามร้อยเก้าสิบหก,ba trăm chín mươi sáu
