,number,segment,en,de,es,fr,id,it,ja,ko,lt,lv,pl,ru,tr,th,vi
48,67,60|+|7,thirty-six,sechsunddreißig,treinta y seis,trente-six,tiga puluh enam,trentasei,三十六,삼십육,trisdešimt šeši,trīsdesmit seši,trzydzieści sześć,тридцать шесть,otuzaltı,สามสิบหก,ba mươi sáu
49,67,60|+|7,twenty-eight,achtundzwanzig,veintiocho,vingt-huit,dua puluh delapan,ventotto,二十八,이십팔,dvidešimt aštuoni,divdesmit astoņi,dwadzieścia osiem,двадцать восемь,yirmisekiz,ยี่สิบแปด,hai mươi tám
50,71,70|+|1,forty-one,einundvierzig,cuarenta y uno,quarante et un,empat puluh satu,quarantuno,四十一,사십일,keturiasdešimt vienas,četrdesmit viens,czterdzieści jeden,сорок один,kırkbir,สี่สิบเอ็ด,bốn mươi mốt
51,71,70|+|1,nine,neun,nueve,neuf,sembilan,nove,九,구,devyni,deviņi,dziewięć,девять,dokuz,เก้า,chín
52,71,70|+|1,forty-one,einundvierzig,cuarenta y uno,quarante et un,empat puluh satu,quarantuno,四十一,사십일,keturiasdešimt vienas,četrdesmit viens,czterdzieści jeden,сорок один,kırkbir,สี่สิบเอ็ด,bốn mươi mốt
53,71,70|+|1,nine,neun,nueve,neuf,sembilan,nove,九,구,devyni,deviņi,dziewięć,девять,dokuz,เก้า,chín
54,41,40|+|1,fifty-seven,siebenundfünfzig,cincuenta y siete,cinquante-sept,lima puluh tujuh,cinquantasette,五十七,오십칠,penkiasdešimt septyni,piecdesmit septiņi,pięćdziesiąt siedem,пятьдесят семь,elliyedi,ห้าสิบเจ็ด,năm mươi bảy
55,41,40|+|1,forty-one,einundvierzig,cuarenta y uno,quarante et un,empat puluh satu,quarantuno,四十一,사십일,keturiasdešimt vienas,četrdesmit viens,czterdzieści jeden,сорок один,kırkbir,สี่สิบเอ็ด,bốn mươi mốt
56,95,90|+|5,thirty-one,einunddreißig,treinta y uno,trente et un,tiga puluh satu,trentuno,三十一,삼십일,trisdešimt vienas,trīsdesmit viens,trzydzieści jeden,тридцать один,otuzbir,สามสิบเอ็ด,ba mươi mốt
57,95,90|+|5,sixty-nine,neunundsechzig,sesenta y nueve,soixante-neuf,enam puluh sembilan,sessantanove,六十九,육십구,šešiasdešimt devyni,sešdesmit deviņi,sześćdziesiąt dziewięć,шестьдесят девять,altmışdokuz,หกสิบเก้า,sáu mươi chín
58,87,80|+|7,fifty-eight,achtundfünfzig,cincuenta y ocho,cinquante-huit,lima puluh delapan,cinquantotto,五十八,오십팔,penkiasdešimt aštuoni,piecdesmit astoņi,pięćdziesiąt osiem,пятьдесят восемь,ellisekiz,ห้าสิบแปด,năm mươi tám
59,46,40|+|6,fifty-one,einundfünfzig,cincuenta y uno,cinquante et un,lima puluh satu,cinquantuno,五十一,오십일,penkiasdešimt vienas,piecdesmit viens,pięćdziesiąt jeden,пятьдесят один,ellibir,ห้าสิบเอ็ด,năm mươi mốt
60,37,30|+|7,sixty-two,zweiundsechzig,sesenta y dos,soixante-deux,enam puluh dua,sessantadue,六十二,육십이,šešiasdešimt du,sešdesmit divi,sześćdziesiąt dwa,шестьдесят два,altmışiki,หกสิบสอง,sáu mươi hai
61,34,30|+|4,fifty-six,sechsundfünfzig,cincuenta y seis,cinquante-six,lima puluh enam,cinquantasei,五十六,오십육,penkiasdešimt šeši,piecdesmit seši,pięćdziesiąt sześć,пятьдесят шесть,ellialtı,ห้าสิบหก,năm mươi sáu
62,34,30|+|4,sixty-seven,siebenundsechzig,sesenta y siete,soixante-sept,enam puluh tujuh,sessantasette,六十七,육십칠,šešiasdešimt septyni,sešdesmit septiņi,sześćdziesiąt siedem,шестьдесят семь,altmışyedi,หกสิบเจ็ด,sáu mươi bảy
63,35,30|+|5,seventy-four,vierundsiebzig,setenta y cuatro,soixante-quatorze,tujuh puluh empat,settantaquattro,七十四,칠십사,septyniasdešimt keturi,septiņdesmit četri,siedemdziesiąt cztery,семьдесят четыре,yetmişdört,เจ็ดสิบสี่,bảy mươi bốn
64,95,90|+|5,thirty-one,einunddreißig,treinta y uno,trente et un,tiga puluh satu,trentuno,三十一,삼십일,trisdešimt vienas,trīsdesmit viens,trzydzieści jeden,тридцать один,otuzbir,สามสิบเอ็ด,ba mươi mốt
65,95,90|+|5,sixty-nine,neunundsechzig,sesenta y nueve,soixante-neuf,enam puluh sembilan,sessantanove,六十九,육십구,šešiasdešimt devyni,sešdesmit deviņi,sześćdziesiąt dziewięć,шестьдесят девять,altmışdokuz,หกสิบเก้า,sáu mươi chín
66,69,60|+|9,seventy-four,vierundsiebzig,setenta y cuatro,soixante-quatorze,tujuh puluh empat,settantaquattro,七十四,칠십사,septyniasdešimt keturi,septiņdesmit četri,siedemdziesiąt cztery,семьдесят четыре,yetmişdört,เจ็ดสิบสี่,bảy mươi bốn
67,65,60|+|5,forty-four,vierundvierzig,cuarenta y cuatro,quarante-quatre,empat puluh empat,quarantaquattro,四十四,사십사,keturiasdešimt keturi,četrdesmit četri,czterdzieści cztery,сорок четыре,kırkdört,สี่สิบสี่,bốn mươi bốn
68,224,2|x|100|+|20|+|4,one hundred and seventy-one,einhunderteinundsiebzig,ciento setenta y uno,cent soixante et onze,seratus tujuh puluh satu,centosettantuno,百七十一,백칠십일,vienas šimtas septyniasdešimt vienas,simts septiņdesmit viens,sto siedemdziesiąt jeden,сто семьдесят один,yüzyetmişbir,หนึ่งร้อยเจ็ดสิบเอ็ด,một trăm bảy mươi mốt
69,533,5|x|100|+|30|+|3,two hundred and ninety-one,zweihunderteinundneunzig,doscientos noventa y uno,deux cent quatre-vingt-onze,dua ratus sembilan puluh satu,duecentonovantuno,二百九十一,이백구십일,du šimtai devyniasdešimt vienas,divi simti deviņdesmit viens,dwieście dziewięćdzisiąt jeden,двести девяносто один,ikiyüzdoksanbir,สองร้อยเก้าสิบเอ็ด,hai trăm chín mươi mốt
70,914,9|x|100|+|10|+|4,four hundred and forty-three,vierhundertdreiundvierzig,cuatrocientos cuarenta y tres,quatre cent quarante-trois,empat ratus empat puluh tiga,quattrocentoquarantatre,四百四十三,사백사십삼,keturi šimtai keturiasdešimt trys,četri simti četrdesmit trīs,czterysta czterdzieści trzy,четыреста сорок три,dörtyüzkırküç,สี่ร้อยสี่สิบสาม,bốn trăm bốn mươi ba
71,605,6|x|100|+|0|+|5,nine hundred and eighteen,neunhundertachtzehn,novecientos dieciocho,neuf cent dix-huit,sembilan ratus delapan belas,novecentodicotto,九百十八,구백십팔,devyni šimtai aštuoniolika,deviņi simti astoņpadsmit,dziewięćset osiemnaście,девятьсот восемнадцать,dokuzyüzonsekiz,เก้าร้อยสิบแปด,chín trăm mười tám
72,550,5|x|100|+|50|+|0,two hundred and thirty-three,zweihundertdreiunddreißig,doscientos treinta y tres,deux cent trente-trois,dua ratus tiga puluh tiga,duecentotrentatre,二百三十三,이백삼십삼,du šimtai trisdešimt trys,divi simti trīsdesmit trīs,dwieście trzydzieści trzy,двести тридцать три,ikiyüzotuzüç,สองร้อยสามสิบสาม,hai trăm ba mươi ba
73,445,4|x|100|+|40|+|5,two hundred and twenty-nine,zweihundertneunundzwanzig,doscientos veintinueve,deux cent vingt-neuf,dua ratus dua puluh sembilan,duecentoventinove,二百二十九,이백이십구,du šimtai dvidešimt devyni,divi simti divdesmit deviņi,dwieście dwadzieścia dziewięć,двести двадцать девять,ikiyüzyirmidokuz,สองร้อยยี่สิบเก้า,hai trăm hai mươi chín
74,376,3|x|100|+|70|+|6,six hundred and seventy-eight,sechshundertachtundsiebzig,seiscientos setenta y ocho,six cent soixante-dix-huit,enam ratus tujuh puluh delapan,seicentosettantotto,六百七十八,육백칠십팔,šeši šimtai septyniasdešimt aštuoni,seši simti septiņdesmit astoņi,sześćset siedemdziesiąt osiem,шестьсот семьдесят восемь,altıyüzyetmişsekiz,หกร้อยเจ็ดสิบแปด,sáu trăm bảy mươi tám
75,500,5|x|100|+|0|+|0,nine hundred and seventy-one,neunhunderteinundsiebzig,novecientos setenta y uno,neuf cent soixante et onze,sembilan ratus tujuh puluh satu,novecentosettantuno,九百七十一,구백칠십일,devyni šimtai septyniasdešimt vienas,deviņi simti septiņdesmit viens,dziewięćset siedemdziesiąt jeden,девятьсот семьдесят один,dokuzyüzyetmişbir,เก้าร้อยเจ็ดสิบเอ็ด,chín trăm bảy mươi mốt
76,942,9|x|100|+|40|+|2,seven hundred and thirty-eight,siebenhundertachtunddreißig,setecientos treinta y ocho,sept cent trente-huit,tujuh ratus tiga puluh delapan,settecentotrentotto,七百三十八,칠백삼십팔,septyni šimtai trisdešimt aštuoni,septiņi simti trīsdesmit astoņi,siedemset trzydzieści osiem,семьсот тридцать восемь,yediyüzotuzsekiz,เจ็ดร้อยสามสิบแปด,bảy trăm ba mươi tám
77,448,4|x|100|+|40|+|8,six hundred and fifty-nine,sechshundertneunundfünfzig,seiscientos cincuenta y nueve,six cent cinquante-neuf,enam ratus lima puluh sembilan,seicentocinquantanove,六百五十九,육백오십구,šeši šimtai penkiasdešimt devyni,seši simti piecdesmit deviņi,sześćset pięćdziesiąt dziewięć,шестьсот пятьдесят девять,altıyüzellidokuz,หกร้อยห้าสิบเก้า,sáu trăm năm mươi chín
78,824,8|x|100|+|20|+|4,five hundred and thirty-nine,fünfhundertneununddreißig,quinientos treinta y nueve,cinq cent trente-neuf,lima ratus tiga puluh sembilan,cinquecentotrentanove,五百三十九,오백삼십구,penki šimtai trisdešimt devyni,pieci simti trīsdesmit deviņi,pięćset trzydzieści dziewięć,пятьсот тридцать девять,beşyüzotuzdokuz,ห้าร้อยสามสิบเก้า,năm trăm ba mươi chín
79,801,8|x|100|+|0|+|1,two hundred and sixty-five,zweihundertfünfundsechzig,doscientos sesenta y cinco,deux cent soixante-cinq,dua ratus enam puluh lima,duecentosessantacinque,二百六十五,이백육십오,du šimtai šešiasdešimt penki,divi simti sešdesmit pieci,dwieście sześćdziesiąt pięć,двести шестьдесят пять,ikiyüzaltmışbeş,สองร้อยหกสิบห้า,hai trăm sáu mươi lăm
80,812,8|x|100|+|10|+|2,four hundred and twenty-seven,vierhundertsiebenundzwanzig,cuatrocientos veintisiete,quatre cent vingt-sept,empat ratus dua puluh tujuh,quattrocentoventisette,四百二十七,사백이십칠,keturi šimtai dvidešimt septyni,četri simti divdesmit septiņi,czterysta dwadzieścia siedem,четыреста двадцать семь,dörtyüzyirmiyedi,สี่ร้อยยี่สิบเจ็ด,bốn trăm hai mươi bảy
81,767,7|x|100|+|60|+|7,two hundred and seventy-five,zweihundertfünfundsiebzig,doscientos setenta y cinco,deux cent soixante-quinze,dua ratus tujuh puluh lima,duecentosettantacinque,二百七十五,이백칠십오,du šimtai septyniasdešimt penki,divi simti septiņdesmit pieci,dwieście siedemdziesiąt pięć,двести семьдесят пять,ikiyüzyetmişbeş,สองร้อยเจ็ดสิบห้า,hai trăm bảy mươi lăm
82,696,6|x|100|+|90|+|6,one hundred and ninety-five,einhundertfünfundneunzig,ciento noventa y cinco,cent quatre-vingt-quinze,seratus sembilan puluh lima,centonovantacinque,百九十五,백구십오,vienas šimtas devyniasdešimt penki,simts deviņdesmit pieci,sto dziewięćdzisiąt pięć,сто девяносто пять,yüzdoksanbeş,หนึ่งร้อยเก้าสิบห้า,một trăm chín mươi lăm
83,220,2|x|100|+|20|+|0,five hundred and eighty-eight,fünfhundertachtundachtzig,quinientos ochenta y ocho,cinq cent quatre-vingt-huit,lima ratus delapan puluh delapan,cinquecentottantotto,五百八十八,오백팔십팔,penki šimtai aštuoniasdešimt aštuoni,pieci simti astoņdesmit astoņi,pięćset osiemdziesiąt osiem,пятьсот восемьдесят восемь,beşyüzseksensekiz,ห้าร้อยแปดสิบแปด,năm trăm tám mươi tám
84,774,7|x|100|+|70|+|4,nine hundred and twenty-two,neunhundertzweiundzwanzig,novecientos veintidós,neuf cent vingt-deux,sembilan ratus dua puluh dua,novecentoventidue,九百二十二,구백이십이,devyni šimtai dvidešimt du,deviņi simti divdesmit divi,dziewięćset dwadzieścia dwa,девятьсот двадцать два,dokuzyüzyirmiiki,เก้าร้อยยี่สิบสอง,chín trăm hai mươi hai
85,588,5|x|100|+|80|+|8,two hundred and thirty-three,zweihundertdreiunddreißig,doscientos treinta y tres,deux cent trente-trois,dua ratus tiga puluh tiga,duecentotrentatre,二百三十三,이백삼십삼,du šimtai trisdešimt trys,divi simti trīsdesmit trīs,dwieście trzydzieści trzy,двести тридцать три,ikiyüzotuzüç,สองร้อยสามสิบสาม,hai trăm ba mươi ba
86,746,7|x|100|+|40|+|6,five hundred and sixty-five,fünfhundertfünfundsechzig,quinientos sesenta y cinco,cinq cent soixante-cinq,lima ratus enam puluh lima,cinquecentosessantacinque,五百六十五,오백육십오,penki šimtai šešiasdešimt penki,pieci simti sešdesmit pieci,pięćset sześćdziesiąt pięć,пятьсот шестьдесят пять,beşyüzaltmışbeş,ห้าร้อยหกสิบห้า,năm trăm sáu mươi lăm
87,722,7|x|100|+|20|+|2,eight hundred and eighty-six,achthundertsechsundachtzig,ochocientos ochenta y seis,huit cent quatre-vingt-six,delapan ratus delapan puluh enam,ottocentottantasei,八百八十六,팔백팔십육,aštuoni šimtai aštuoniasdešimt šeši,astoņi simti astoņdesmit seši,osiemset osiemdziesiąt sześć,восемьсот восемьдесят шесть,sekizyüzseksenaltı,แปดร้อยแปดสิบหก,tám trăm tám mươi sáu
88,995,9|x|100|+|90|+|5,five hundred and thirty-nine,fünfhundertneununddreißig,quinientos treinta y nueve,cinq cent trente-neuf,lima ratus tiga puluh sembilan,cinquecentotrentanove,五百三十九,오백삼십구,penki šimtai trisdešimt devyni,pieci simti trīsdesmit deviņi,pięćset trzydzieści dziewięć,пятьсот тридцать девять,beşyüzotuzdokuz,ห้าร้อยสามสิบเก้า,năm trăm ba mươi chín
89,927,9|x|100|+|20|+|7,five hundred and forty-three,fünfhundertdreiundvierzig,quinientos cuarenta y tres,cinq cent quarante-trois,lima ratus empat puluh tiga,cinquecentoquarantatre,五百四十三,오백사십삼,penki šimtai keturiasdešimt trys,pieci simti četrdesmit trīs,pięćset czterdzieści trzy,пятьсот сорок три,beşyüzkırküç,ห้าร้อยสี่สิบสาม,năm trăm bốn mươi ba
90,788,7|x|100|+|80|+|8,two hundred and thirty-three,zweihundertdreiunddreißig,doscientos treinta y tres,deux cent trente-trois,dua ratus tiga puluh tiga,duecentotrentatre,二百三十三,이백삼십삼,du šimtai trisdešimt trys,divi simti trīsdesmit trīs,dwieście trzydzieści trzy,двести тридцать три,ikiyüzotuzüç,สองร้อยสามสิบสาม,hai trăm ba mươi ba
91,394,3|x|100|+|90|+|4,seven hundred and fourteen,siebenhundertvierzehn,setecientos catorce,sept cent quatorze,tujuh ratus empat belas,settecentoquattordici,七百十四,칠백십사,septyni šimtai keturiolika,septiņi simti četrpadsmit,siedemset czternaście,семьсот четырнадцать,yediyüzondört,เจ็ดร้อยสิบสี่,bảy trăm mười bốn
92,875,8|x|100|+|70|+|5,one hundred and eighty-nine,einhundertneunundachtzig,ciento ochenta y nueve,cent quatre-vingt-neuf,seratus delapan puluh sembilan,centottantanove,百八十九,백팔십구,vienas šimtas aštuoniasdešimt devyni,simts astoņdesmit deviņi,sto osiemdziesiąt dziewięć,сто восемьдесят девять,yüzseksendokuz,หนึ่งร้อยแปดสิบเก้า,một trăm tám mươi chín
93,235,2|x|100|+|30|+|5,two hundred and eleven,zweihundertelf,doscientos once,deux cent onze,dua ratus sebelas,duecentoundici,二百十一,이백십일,du šimtai vienuolika,divi simti vienpadsmit,dwieście jedenaście,двести одиннадцать,ikiyüzonbir,สองร้อยสิบเอ็ด,hai trăm mười một
94,281,2|x|100|+|80|+|1,six hundred and fifty-three,sechshundertdreiundfünfzig,seiscientos cincuenta y tres,six cent cinquante-trois,enam ratus lima puluh tiga,seicentocinquantatre,六百五十三,육백오십삼,šeši šimtai penkiasdešimt trys,seši simti piecdesmit trīs,sześćset pięćdziesiąt trzy,шестьсот пятьдесят три,altıyüzelliüç,หกร้อยห้าสิบสาม,sáu trăm năm mươi ba
95,412,4|x|100|+|10|+|2,seven hundred and eighty-six,siebenhundertsechsundachtzig,setecientos ochenta y seis,sept cent quatre-vingt-six,tujuh ratus delapan puluh enam,settecentottantasei,七百八十六,칠백팔십육,septyni šimtai aštuoniasdešimt šeši,septiņi simti astoņdesmit seši,siedemset osiemdziesiąt sześć,семьсот восемьдесят шесть,yediyüzseksenaltı,เจ็ดร้อยแปดสิบหก,bảy trăm tám mươi sáu
